english,bodo,mizo,category
teacher's room,शिक्षक का कमरा,teacher's room,School Places
staff room,स्टाफ कक्ष,staff room,School Places
office,कार्यालय,office,Places
department,विभाग,department,School
section,खंड,section,School
help desk,सहायता डेस्क,help desk,Places
volunteer,स्वयंसेवक,volunteer,Occupations
competition,प्रतियोगिता,competition,School Events
prize,पुरस्कार,prize,School Events
award,पुरस्कार,award,School Events
runner up,उपविजेता,runner up,School Events
noise,शोर,ko leng,Nouns
analysis,विश्लेषण,zir thang rawh,Nouns
communication,संचार,communication,Skills
leadership,नेतृत्व,leadership,Skills
teamwork,सामूहिक कार्य,teamwork,Skills
problem solving,समस्या समाधान,problem solving,Skills
critical thinking,आलोचनात्मक सोच,critical thinking,Skills
decision making,निर्णय लेना,decision making,Skills
creativity,रचनात्मकता,creativity,Skills
innovation,नवाचार,innovation,Skills
engineering,अभियांत्रिकी,engineering,Subjects
statistics,सांख्यिकी,statistics,Subjects
economics,अर्थशास्त्र,economics,Subjects
finance,वित्त,finance,Subjects
marketing,विपणन,marketing,Subjects
sales,बिक्रय,sales,Subjects
government,सरकार,government,Subjects
politics,राजनीति,politics,Subjects
community,समुदाय,community,Society
environment,वातावरण,environment,Environment
climate,जलवायु,climate,Environment
pollution,प्रदूषण,pollution,Environment
recycle,पुनर्चक्र,recycle,Environment
sustainability,स्थिरता,sustainability,Environment
forest fire,जंगल की आग,forest fire,Environment
rainfall,वर्षा,rainfall,Environment
temperature,तापमान,temperature,Environment
global warming,ग्लोबल वार्मिंग,global warming,Environment
carbon emission,कार्बन उत्सर्जन,carbon emission,Environment
medical waste,चिकित्सा अपशिष्ट,medical waste,Environment
hazardous waste,खतरनाक अपशिष्ट,hazardous waste,Environment
donate,दान देना,donate,Community
charity,दान,charity,Community
fundraiser,धनराशि संग्रहकर्ता,fundraiser,Community
support group,सहायता समूह,support group,Community
special needs,विशेष आवश्यकताएं,special needs,Community
counseling,परामर्श,counseling,Services
career guidance,कैरियर मार्गदर्शन,career guidance,School Services
internship,इंटर्नशिप,internship,School Services
job,नौकरी,job,Occupations
vacancy,रिक्ति,vacancy,Occupations
resume,जीवनवृत्त,resume,Documents
cv,सीवी,CV,Documents
portfolio,पोर्टफोलियो,portfolio,Documents
references,संदर्भ,references,Documents
cover letter,कवर पत्र,cover letter,Documents
meeting,बैठक,meeting,Events
calendar,कैलेंडर,calendar,Objects
event,घटना,event,Events
reminder,स्मरणीय,reminder,Nouns
alert,सतर्कता,alert,Nouns
notification,सूचना,notification,Nouns
security,सुरक्षा,security,Computer
backup,बैकअप,backup,Computer
restore,पुनः स्थापित,restore,Computer
server,सर्वर,server,Computer
database,डेटाबेस,database,Computer
api,एपीआई,API,Computer
frontend,फ्रंटएंड,frontend,Computer
backend,बैकएंड,backend,Computer
bug,बग,bug,Computer
error,त्रुटि,error,Computer
fix,ठीक करना,fix,Verbs
software,सॉफ्टवेयर,software,Computer
hardware,हार्डवेयर,hardware,Computer
network,नेटवर्क,network,Computer
wifi,वाईफाई,wifi,Computer
bluetooth,ब्लूटूथ,bluetooth,Computer
signal,संकेत,signal,Computer
speed,गति,speed,Nouns
battery,बैटरी,battery,Computer
charger,चार्जर,charger,Computer
wireless,वायरलेस,wireless,Computer
power,शक्ति,power,Nouns
restart,पुनः प्रारंभ,restart,Computer
shutdown,बंद करना,shutdown,Verbs
duster,झाड़न,duster,Objects
soap,साबुन,soap,Objects
water tap,नल,water tap,Objects
bucket,बाल्टी,bucket,Objects
mop,पोंछा,mop,Objects
broom,झाड़ू,broom,Objects
dustbin,कूड़ेदान,dustbin,Objects
cleaner,सफाई कर्मचारी,cleaner,Occupations
gardener,माली,gardener,Occupations
security guard,सुरक्षा गार्ड,security guard,Occupations
gate,फाटक,gate,Objects
parking,पार्किंग,parking,Places
field,खेत,field,Places
court,अदालत,court,Places
football,फुटबॉल,football,Sports
cricket,क्रिकेट,cricket,Sports
volleyball,वॉलीबॉल,volleyball,Sports
running,दौड़ना,running,Sports
jumping,कूदना,jumping,Sports
swimming,तैराकी,swimming,Sports
trainer,प्रशिक्षक,trainer,Occupations
whistle,सीटी,whistle,Objects
stopwatch,स्टॉपवॉच,stopwatch,Objects
team captain,दल कप्तान,team captain,Sports
scoreboard,स्कोरबोर्ड,scoreboard,Sports
auditorium,सभागार,auditorium,Places
stage,मंच,stage,Objects
mic,माइक,mic,Objects
spotlight,स्पॉटलाइट,spotlight,Objects
curtain,पर्दा,curtain,Objects
sound system,ध्वनि प्रणाली,sound system,Objects
projector,प्रोजेक्टर,projector,Objects
smartboard,स्मार्टबोर्ड,smartboard,Objects
wifi router,वाईफाई राउटर,wifi router,Computer
air conditioner,एयर कंडीशनर,air conditioner,Objects
fan,पंखा,fan,Objects
switch,स्विच,switch,Objects
plug,प्लग,plug,Objects
socket,सॉकेट,socket,Objects
power cut,बिजली कटौती,power cut,Events
generator,जनरेटर,generator,Objects
inverter,इनवर्टर,inverter,Objects
aarav,आरव,Aarav,Person Names
advait,अद्वैत,Advait,Person Names
akhil,अखिल,Akhil,Person Names
amit,अमित,Amit,Person Names
amar,अमर,Amar,Person Names
anand,आनंद,Anand,Person Names
aniket,अनिकेत,Aniket,Person Names
arjun,अर्जुन,Arjun,Person Names
aryan,आर्यन,Aryan,Person Names
ashok,अशोक,Ashok,Person Names
bala,बाला,Bala,Person Names
bharath,भरत,Bharath,Person Names
bhavesh,भवेश,Bhavesh,Person Names
charan,चरण,Charan,Person Names
chaitanya,चैतन्य,Chaitanya,Person Names
daksh,दक्ष,Daksh,Person Names
darshan,दर्शन,Darshan,Person Names
deepak,दीपक,Deepak,Person Names
dev,देव,Dev,Person Names
dhanush,धनुष,Dhanush,Person Names
dinesh,दिनेश,Dinesh,Person Names
durga prasad,दुर्गा प्रसाद,Durga Prasad,Person Names
gaurav,गौरव,Gaurav,Person Names
ganesh,गणेश,Ganesh,Person Names
girish,गिरीश,Girish,Person Names
govind,गोविंद,Govind,Person Names
harish,हरीश,Harish,Person Names
harsha,हर्ष,Harsha,Person Names
hemant,हेमंत,Hemant,Person Names
ishan,ईशान,Ishan,Person Names
jatin,जतिन,Jatin,Person Names
jay,जय,Jay,Person Names
jeevan,जीवन,Jeevan,Person Names
jitendra,जितेंद्र,Jitendra,Person Names
kamal,कमल,Kamal,Person Names
karan,करण,Karan,Person Names
karthik,कार्तिक,Karthik,Person Names
keshav,केशव,Keshav,Person Names
krishna,कृष्ण,Krishna,Person Names
lakshman,लक्ष्मण,Lakshman,Person Names
lohith,लोहित,Lohith,Person Names
mahesh,महेश,Mahesh,Person Names
mayur,मयूर,Mayur,Person Names
mohan,मोहन,Mohan,Person Names
mukesh,मुकेश,Mukesh,Person Names
naveen,नवीन,Naveen,Person Names
narendra,नरेंद्र,Narendra,Person Names
nikhil,निखिल,Nikhil,Person Names
niranjan,निरंजन,Niranjan,Person Names
omkar,ओमकार,Omkar,Person Names
pankaj,पंकज,Pankaj,Person Names
pavan,पवन,Pavan,Person Names
pradeep,प्रदीप,Pradeep,Person Names
prakash,प्रकाश,Prakash,Person Names
pranav,प्रणव,Pranav,Person Names
pratap,प्रताप,Pratap,Person Names
prem,प्रेम,Prem,Person Names
raj,राज,Raj,Person Names
raja,राजा,Raja,Person Names
rajesh,राजेश,Rajesh,Person Names
ravi,रवि,Ravi,Person Names
rohit,रोहित,Rohit,Person Names
sachin,सचिन,Sachin,Person Names
sagar,सागर,Sagar,Person Names
sai,साई,Sai,Person Names
sandeep,संदीप,Sandeep,Person Names
santhosh,संतोष,Santhosh,Person Names
sarath,सारथ,Sarath,Person Names
satish,सतीश,Satish,Person Names
saurabh,सौरभ,Saurabh,Person Names
shankar,शंकर,Shankar,Person Names
shashank,शशांक,Shashank,Person Names
shiva,शिव,Shiva,Person Names
siddharth,सिद्धार्थ,Siddharth,Person Names
sooraj,सूरज,Sooraj,Person Names
subhash,सुभाष,Subhash,Person Names
sudeep,सुदीप,Sudeep,Person Names
suhas,सुहास,Suhas,Person Names
suraj,सुराज,Suraj,Person Names
surya,सूर्य,Surya,Person Names
teja,तेज,Teja,Person Names
uday,उदय,Uday,Person Names
umesh,उमेश,Umesh,Person Names
varun,वरुण,Varun,Person Names
venkatesh,वेंकटेश,Venkatesh,Person Names
vignesh,विग्नेश,Vignesh,Person Names
vikas,विकास,Vikas,Person Names
vijay,विजय,Vijay,Person Names
vimal,विमल,Vimal,Person Names
vinay,विनय,Vinay,Person Names
vinit,विनीत,Vinit,Person Names
vishal,विशाल,Vishal,Person Names
vivek,विवेक,Vivek,Person Names
yogesh,योगेश,Yogesh,Person Names
aadhya,आध्या,Aadhya,Person Names
aarohi,आरोही,Aarohi,Person Names
aarti,आरती,Aarti,Person Names
aishwarya,ऐश्वर्या,Aishwarya,Person Names
akshara,अक्षरा,Akshara,Person Names
ananya,अनन्या,Ananya,Person Names
anitha,अनिता,Anitha,Person Names
anushka,अनुष्का,Anushka,Person Names
aparna,अपर्णा,Aparna,Person Names
archana,अर्चना,Archana,Person Names
arpita,अर्पिता,Arpita,Person Names
bhavani,भवानी,Bhavani,Person Names
bhuvana,भुवना,Bhuvana,Person Names
charitha,चरिता,Charitha,Person Names
chandana,चंदना,Chandana,Person Names
deepika,दीपिका,Deepika,Person Names
deeksha,दीक्षा,Deeksha,Person Names
divya,दिव्य,Divya,Person Names
durga,दुर्गा,Durga,Person Names
eesha,ईशा,Eesha,Person Names
gauri,गौरी,Gauri,Person Names
gayathri,गायत्री,Gayathri,Person Names
greeshma,ग्रीष्मा,Greeshma,Person Names
harini,हरिणी,Harini,Person Names
hema,हेमा,Hema,Person Names
indira,इंदिरा,Indira,Person Names
ira,इरा,Ira,Person Names
ishika,ईशिका,Ishika,Person Names
jahnavi,जाह्नवी,Jahnavi,Person Names
janani,जननी,Janani,Person Names
jaya,जया,Jaya,Person Names
jayashree,जयश्री,Jayashree,Person Names
jyothi,ज्योति,Jyothi,Person Names
kajal,काजल,Kajal,Person Names
kalyani,कल्याणी,Kalyani,Person Names
kamala,कमला,Kamala,Person Names
kamalini,कामलिनी,Kamalini,Person Names
kavitha,कविता,Kavitha,Person Names
keerthi,कीर्ति,Keerthi,Person Names
kritika,कृतिका,Kritika,Person Names
lakshmi,लक्ष्मी,Lakshmi,Person Names
lavanya,लवण्य,Lavanya,Person Names
leela,लीला,Leela,Person Names
madhavi,मधावी,Madhavi,Person Names
madhu,मधु,Madhu,Person Names
mahima,महिमा,Mahima,Person Names
malini,मालिनी,Malini,Person Names
manisha,मनीषा,Manisha,Person Names
meena,मीना,Meena,Person Names
meenakshi,मीनाक्षी,Meenakshi,Person Names
mounika,मौनिका,Mounika,Person Names
mythri,मित्री,Mythri,Person Names
nalini,नलिनी,Nalini,Person Names
namitha,नमिता,Namitha,Person Names
nandini,नंदिनी,Nandini,Person Names
neelima,नीलिमा,Neelima,Person Names
neha,नेहा,Neha,Person Names
niharika,निहारिका,Niharika,Person Names
nikki,निक्की,Nikki,Person Names
pallavi,पल्लवी,Pallavi,Person Names
pooja,पूजा,Pooja,Person Names
poorna,पूर्णा,Poorna,Person Names
pranitha,प्रणिता,Pranitha,Person Names
prathyusha,प्रत्यूषा,Prathyusha,Person Names
preethi,प्रीति,Preethi,Person Names
radha,राधा,Radha,Person Names
rajani,रजनी,Rajani,Person Names
ramya,रम्या,Ramya,Person Names
rekha,रेखा,Rekha,Person Names
renuka,रेणुका,Renuka,Person Names
renu,रेणु,Renu,Person Names
rhea,रिया,Rhea,Person Names
rithika,रितिका,Rithika,Person Names
sahana,सहना,Sahana,Person Names
sai lakshmi,साई लक्ष्मी,Sai Lakshmi,Person Names
sandhya,संध्या,Sandhya,Person Names
sanjana,संजना,Sanjana,Person Names
sapna,सपना,Sapna,Person Names
saranya,सारण्य,Saranya,Person Names
sarita,सरिता,Sarita,Person Names
seema,सीमा,Seema,Person Names
shalini,शालिनी,Shalini,Person Names
shanthi,शांति,Shanthi,Person Names
sharmila,शर्मिला,Sharmila,Person Names
sheetal,शीतल,Sheetal,Person Names
shilpa,शिल्पा,Shilpa,Person Names
shravani,श्रवणी,Shravani,Person Names
shruthi,श्रुति,Shruthi,Person Names
shweta,श्वेता,Shweta,Person Names
sindhu,सिंधु,Sindhu,Person Names
siri,सीरी,Siri,Person Names
sita,सीता,Sita,Person Names
smitha,स्मिता,Smitha,Person Names
sneha,स्नेहा,Sneha,Person Names
soumya,सौम्य,Soumya,Person Names
sravani,श्रवणी,Sravani,Person Names
sridevi,श्रीदेवी,Sridevi,Person Names
srinidhi,श्रीनिधि,Srinidhi,Person Names
subhalakshmi,सुभलक्ष्मी,Subhalakshmi,Person Names
sujatha,सुजाता,Sujatha,Person Names
suma,सुमा,Suma,Person Names
sunitha,सुनिता,Sunitha,Person Names
surekha,सुरेखा,Surekha,Person Names
sushma,सुषमा,Sushma,Person Names
swathi,स्वाति,Swathi,Person Names
tanvi,तन्वी,Tanvi,Person Names
uma,उमा,Uma,Person Names
urmila,उर्मिला,Urmila,Person Names
vaishnavi,वैष्णवी,Vaishnavi,Person Names
varsha,वर्षा,Varsha,Person Names
vasudha,वसुंधा,Vasudha,Person Names
vedika,वेदिका,Vedika,Person Names
vidya,विद्या,Vidya,Person Names
vijaya,विजया,Vijaya,Person Names
yamini,यामिनी,Yamini,Person Names
yashoda,यशोदा,Yashoda,Person Names
fire,आग,Mei,Nature
sand,रेत,Nâwi,Nature
seed,बीज,Chi,Nature
root,जड़,Hnahthial,Nature
branch,शाखा,Pâl,Nature
lake,झील,Dil,Nature
sea,समुद्र,Tuipui,Nature
path,रास्ता,Kawngtê,Everyday Objects
room,कमरा,Pûk,Everyday Objects
bed,बिस्तर,Muanna,Everyday Objects
pillow,तकिया,Muân,Everyday Objects
blanket,कंबल,Puân,Everyday Objects
cloth,कपड़ा,Puân,Clothing
pant,पतलून,Bâwmhlap,Clothing
shoes,जूते,Kêthlâk,Clothing
voice,आवाज,Aw,Communication
sound,ध्वनि,Aw,Communication
song,गीत,Hla,Arts
dance,नृत्य,Lam,Arts
art,कला,Thiamna,Arts
picture,चित्र,Thlalak,Arts
woman,महिला,Hmeichhia,People
boy,लड़का,Tlangval,People
girl,लड़की,Naupangnu,People
enemy,शत्रु,Hmêlmâ,People
king,राजा,Lal,Royalty
queen,रानी,Lalnu,Royalty
college,कॉलेज,College,School
true,सच,Dik,Truth
false,झूठ,Dik lo,Truth
end,अंत,Tâwp,Actions
death,मृत्यु,Thihna,Life
love,प्रेम,Duhdawt,Emotions
hate,घृणा,Hua,Emotions
hope,आशा,Beiseina,Emotions
fear,भय,Hlauhna,Emotions
peace,शांति,Muanna,Emotions
war,युद्ध,Indona,Conflict
truth,सत्य,Dikna,Truth
smile,मुस्कुराना,Ṭhî,Expressions
cry,रोना,Tap,Expressions
play,खेलना,Lem,Activities
build,बनाना,Sak,Actions
carry,ले जाना,Pu,Actions
throw,फेंकना,Paih,Actions
catch,पकड़ना,Man,Actions
win,जीतना,Hneh,Actions
lose,हारना,Thlâk,Actions
agree,सहमत,Pawm,Communication
refuse,इंकार,Pawm lo,Communication
finish,समाप्त,Tâwp,Actions
b,ब,B,Alphabet
c,च,C,Alphabet
d,द,D,Alphabet
e,ए,E,Alphabet
f,फ,F,Alphabet
g,ग,G,Alphabet
h,ह,H,Alphabet
j,ज,J,Alphabet
k,क,K,Alphabet
l,ल,L,Alphabet
m,म,M,Alphabet
n,न,N,Alphabet
o,ओ,O,Alphabet
p,प,P,Alphabet
q,क्व,Q,Alphabet
r,र,R,Alphabet
s,स,S,Alphabet
t,त,T,Alphabet
u,उ,U,Alphabet
v,व,V,Alphabet
w,व,W,Alphabet
x,क्ष,X,Alphabet
y,य,Y,Alphabet
z,ज,Z,Alphabet
